Cluster,R_GC,Mass,rc,"rh,m",[Fe/H],logM,rc/rh,logM_norm,rc/rh_norm,fname,tcount,t
NGC_6362,5.2,127000.0,2.89,7.23,-0.99,5.103803720955957,0.39972337482710923,1.241854922664334,4.993439011476605,N2e5_rv4_rg8_Z0.002.tar.gz,141931,10390.148304485001
NGC_6366,5.23,37600.0,1.96,5.56,-0.59,4.575187844927661,0.3525179856115108,0.3962422780781691,4.325207417801934,N2e5_rv4_rg8_Z0.002.tar.gz,141270,10000.543873440001
UKS_1,7.47,77000.0,1.1,3.84,-0.64,4.886490725172482,0.28645833333333337,0.8942251495139535,3.3900780299723237,N4e5_rv2_rg8_Z0.002.tar.gz,310621,13110.959750469001
NGC_6544,5.62,91400.0,0.16,2.07,-1.4,4.960946195733832,0.07729468599033817,1.0133295696050364,0.42919242505856897,N4e5_rv4_rg8_Z0.002.tar.gz,240331,11944.43794089
NGC_6584,6.99,102000.0,1.55,5.37,-1.5,5.008600171761918,0.28864059590316576,1.0895603574446333,3.4209697738830767,N4e5_rv2_rg8_Z0.002.tar.gz,310621,13110.959750469001
NGC_6838,6.86,65600.0,1.48,6.57,-0.78,4.8169038393756605,0.2252663622526636,0.7829088739429638,2.5238547229559596,N2e5_rv4_rg8_Z0.002.tar.gz,146295,12722.245454388
NGC_6934,12.83,136000.0,1.22,5.16,-1.47,5.133538908370218,0.23643410852713176,1.2894215047646647,2.6819434711846526,N4e5_rv4_rg8_Z0.002.tar.gz,233374,11166.595421786
NGC_6981,12.53,68900.0,2.07,5.96,-1.42,4.838219221907626,0.3473154362416107,0.8170065199097232,4.251560999153813,N2e5_rv4_rg8_Z0.002.tar.gz,141270,10000.543873440001
NGC_6356,7.86,600000.0,1.48,6.86,-0.4,5.778151250383644,0.21574344023323613,2.3205905860990215,2.3890498317513154,N8e5_rv2_rg8_Z0.02.tar.gz,383115,11944.428693644997
NGC_6760,5.17,269000.0,1.07,5.22,-0.4,5.429752280002408,0.2049808429118774,1.7632660938255358,2.2366963043334374,N8e5_rv2_rg8_Z0.02.tar.gz,354974,10000.044135
Pal_10,7.6,162000.0,2.09,6.33,-0.1,5.209515014542631,0.330173775671406,1.410958444874224,4.008906519413327,N2e5_rv4_rg8_Z0.02.tar.gz,56241,11555.731180638
Pal_11,8.7,11900.0,4.08,7.72,-0.4,4.075546961392531,0.5284974093264249,-0.40301984784196293,6.816342703772827,N2e5_rv4_rg8_Z0.02.tar.gz,56241,11555.731180638
AM_1,120.27,19200.0,6.56,19.86,-1.7,4.283301228703549,0.33031218529707956,-0.07068091635756851,4.010865822922538,N2e5_rv4_rg20_Z0.0002.tar.gz,160266,12722.214619414
NGC_1904,19.09,139000.0,0.42,3.21,-1.6,5.143014800254095,0.1308411214953271,1.3045798349607653,1.187186809336904,N4e5_rv4_rg20_Z0.0002.tar.gz,242263,11944.368998799999
NGC_2298,15.07,55800.0,0.53,3.31,-1.92,4.746634198937579,0.16012084592145015,0.6705004140771377,1.6016656906837432,N2e5_rv2_rg20_Z0.0002.tar.gz,183173,10000.3759567
NGC_2419,95.93,971000.0,8.08,26.5,-2.15,5.987219229908005,0.3049056603773585,2.655031027790216,3.6512153059169403,N8e5_rv1_rg20_Z0.0002.tar.gz,711966,10000.052870938001
Pal_3,98.17,18900.0,14.31,27.44,-1.63,4.276461804173244,0.5215014577259475,-0.08162176041237221,6.717309183131648,N4e5_rv2_rg20_Z0.0002.tar.gz,290522,10778.184161013
NGC_4147,20.74,39000.0,0.36,4.03,-1.8,4.5910646070264995,0.08933002481389578,0.42163990874854596,0.5995626682896749,N2e5_rv2_rg20_Z0.0002.tar.gz,204489,13499.804055191
Rup_106,18.04,34200.0,5.11,11.57,-1.68,4.534026106056135,0.44165946413137425,0.33039694795975877,5.587079277004008,N4e5_rv2_rg20_Z0.0002.tar.gz,290522,10778.184161013
NGC_5024,19.0,455000.0,2.31,10.18,-2.1,5.658011396657113,0.2269155206286837,2.128406083065955,2.547199933071623,N1.6e6_rv1_rg20_Z0.0002.tar.gz,1496946,13499.928254245997
NGC_5053,18.01,74200.0,10.3,17.31,-2.27,4.870403905279027,0.5950317735413057,0.86849149502122,7.7581920343731845,N4e5_rv2_rg20_Z0.0002.tar.gz,290522,10778.184161013
NGC_5466,16.48,59800.0,6.48,14.03,-1.98,4.776701183988411,0.4618674269422666,0.7185977639611322,5.873139818362261,N4e5_rv2_rg20_Z0.0002.tar.gz,290522,10778.184161013
NGC_5634,21.84,228000.0,0.75,7.39,-1.88,5.357934847000454,0.10148849797023005,1.6483816716919089,0.7716759805388459,N8e5_rv4_rg20_Z0.0002.tar.gz,380336,13499.953132635
