fname,tcount,t,M,r_h,rc_spitzer,N,rv,rg,Z,[Fe/H],logM,rc/rh,logM_norm,rc/rh_norm
N1.6e6_rv1_rg20_Z0.02.tar.gz,1025549,11166.674001461999,511261.9135603,3.9506312999999995,0.5509556999999999,1600000,1.0,20.0,0.02,0.0,5.7086434411781655,0.13946016678397705,2.2094008072311446,1.3091965727324266
N1.6e6_rv1_rg20_Z0.02.tar.gz,1035374,11555.569306595999,509558.38855166,3.9979177000000004,0.53695863,1600000,1.0,20.0,0.02,0.0,5.707193955512031,0.13430957570737384,2.2070821038720263,1.2362856669931346
N1.6e6_rv1_rg20_Z0.02.tar.gz,1040387,11944.407573882001,507877.97804226,4.0421926,0.59300628,1600000,1.0,20.0,0.02,0.0,5.705759381912914,0.14670411301034988,2.204787254946722,1.4117406638156373
N1.6e6_rv1_rg20_Z0.02.tar.gz,1043911,12333.354663377997,506296.15834406,4.0914309,0.53081021,1600000,1.0,20.0,0.02,0.0,5.704404632075157,0.12973705849462103,2.2026200979523733,1.1715578781758988
N1.6e6_rv1_rg20_Z0.02.tar.gz,1047742,12722.209191454,504763.40115978,4.1351671,0.5264627,1600000,1.0,20.0,0.02,0.0,5.703087858021786,0.1273135250084573,2.200513689802169,1.1372507435310268
N1.6e6_rv1_rg20_Z0.02.tar.gz,1052348,13111.120257046,503178.5053506399,4.1771728999999995,0.46966195,1600000,1.0,20.0,0.02,0.0,5.701722080754005,0.11243536268273695,2.1983288925236595,0.9266379663233489
N1.6e6_rv1_rg20_Z0.02.tar.gz,1057771,13499.958274165998,501665.16551018,4.2273913,0.45670581,1600000,1.0,20.0,0.02,0.0,5.700413945652151,0.10803490322743485,2.1962363038725847,0.8643457983404266
N1.6e6_rv1_rg2_Z0.0002.tar.gz,1357034,10000.00309602,421205.38886243996,4.8249294,0.47787194,1600000,1.0,2.0,0.0002,-2.0,5.6244939188720675,0.09904226577905989,2.0747890724634344,0.7370475268227231
N1.6e6_rv1_rg2_Z0.0002.tar.gz,1375657,10388.893147668,417787.32500946,4.8407237,0.86602585,1600000,1.0,2.0,0.0002,-2.0,5.620955260053217,0.17890421012874583,2.069128374823062,1.8675598525025683
N1.6e6_rv1_rg2_Z0.0002.tar.gz,1389100,10777.777445497999,414543.14390706,4.8546639,0.66760291,1600000,1.0,2.0,0.0002,-2.0,5.6175697367818,0.13751784340827386,2.0637126440123255,1.2817013679190572
N1.6e6_rv1_rg2_Z0.0002.tar.gz,1403261,11166.682757272,411135.4243262,4.854128599999999,0.78731174,1600000,1.0,2.0,0.0002,-2.0,5.6139848981537135,0.1621942484177284,2.0579780737692097,1.6310164296023246
N1.6e6_rv1_rg2_Z0.0002.tar.gz,1418074,11555.561551449999,408034.23871532,4.8521861,0.69615547,1600000,1.0,2.0,0.0002,-2.0,5.610696606867442,0.14347254117066943,2.0527178823583023,1.36599507339923
N1.6e6_rv1_rg2_Z0.0002.tar.gz,1432399,11944.440595794,404864.61206198,4.858978,0.70166875,1600000,1.0,2.0,0.0002,-2.0,5.607309818117248,0.1444066530039856,2.0473001271950926,1.3792182042624532
N1.6e6_rv1_rg2_Z0.0002.tar.gz,1448903,12333.335400595999,401759.77781478,4.8626667999999995,1.0659935,1600000,1.0,2.0,0.0002,-2.0,5.603966455191025,0.21921993503647014,2.0419518391582363,2.43826251067144
